online_order,book_table,rate,votes,location,cuisines,costing,listed_in(type)
Yes,No,3.5,407,Jayanagar,3,400,Delivery
Yes,No,3.7,43,Ulsoor,2,250,Delivery
Yes,No,3.4,129,Banashankari,2,200,Delivery
Yes,No,3.8,62,Hosur Road,2,350,Dine-out
Yes,No,3.5,10,Koramangala 1st Block,2,200,Delivery
No,No,3.0,29,Electronic City,2,200,Dine-out
Yes,No,3.9,92,Sahakara Nagar,2,500,Delivery
Yes,No,3.9,456,Domlur,4,600,Dine-out
Yes,No,3.3,6,Brookefield,3,200,Delivery
No,No,4.1,701,Brookefield,4,600,Delivery
Yes,No,3.9,148,HSR,2,200,Delivery
No,No,3.700448817952718,0,Kammanahalli,3,300,Dine-out
Yes,No,3.3,5,Rajajinagar,2,200,Delivery
Yes,No,3.8,58,Basavanagudi,1,150,Dine-out
No,Yes,4.1,466,Whitefield,4,1000,Drinks & nightlife
Yes,No,3.4,9,Rajajinagar,1,350,Dine-out
Yes,No,3.8,254,BTM,1,550,Dine-out
Yes,No,3.700448817952718,0,"Varthur Main Road, Whitefield",2,200,Delivery
Yes,No,3.0,7,Brigade Road,1,500,Dine-out
Yes,No,4.1,159,Vasanth Nagar,2,300,Delivery
No,No,3.3,7,BTM,3,250,Delivery
No,No,3.700448817952718,0,Kumaraswamy Layout,1,100,Dine-out
Yes,No,3.6,29,Koramangala 7th Block,2,400,Delivery
Yes,No,3.6,181,Jeevan Bhima Nagar,4,350,Delivery
Yes,No,3.7,32,Koramangala 6th Block,1,700,Dine-out
No,No,3.7,33,Bellandur,2,550,Cafes
Yes,No,3.8,38,Nagawara,3,250,Delivery
Yes,No,3.5,11,Sarjapur Road,2,400,Delivery
No,No,3.700448817952718,0,JP Nagar,3,300,Dine-out
Yes,No,4.0,128,HSR,5,650,Cafes
Yes,No,3.9,362,BTM,1,600,Dine-out
Yes,No,4.3,627,Whitefield,1,450,Dine-out
Yes,No,3.3,9,Koramangala 4th Block,2,400,Delivery
Yes,No,3.6,121,HSR,6,550,Delivery
Yes,No,4.1,449,Basavanagudi,1,100,Dine-out
Yes,No,3.9,144,Jayanagar,2,550,Delivery
No,No,3.9,56,Jayanagar,2,200,Desserts
Yes,No,3.3,6,Basavanagudi,2,100,Delivery
Yes,No,3.6,10,Electronic City,2,400,Delivery
Yes,No,3.9,201,BTM,2,300,Delivery
No,Yes,4.0,169,BTM,1,1100,Pubs and bars
No,No,3.700448817952718,0,Bannerghatta Road,2,400,Delivery
No,No,3.4,5,Frazer Town,1,250,Delivery
No,No,4.3,424,Indiranagar,2,1000,Pubs and bars
Yes,No,3.7,13,BTM,2,200,Delivery
Yes,No,3.8,41,Ulsoor,2,250,Delivery
Yes,No,3.8,232,Marathahalli,1,300,Delivery
Yes,No,3.5,11,Wilson Garden,2,200,Delivery
Yes,No,3.5,20,Banaswadi,2,400,Delivery
Yes,No,3.700448817952718,0,Commercial Street,2,600,Dine-out
Yes,No,3.4,154,Jeevan Bhima Nagar,3,200,Delivery
Yes,No,3.700448817952718,0,BTM,2,300,Delivery
No,No,3.8,39,Frazer Town,1,200,Dine-out
No,No,3.1,16,Hennur,2,400,Delivery
Yes,No,3.6,24,BTM,1,300,Delivery
No,No,3.700448817952718,0,Bannerghatta Road,2,400,Delivery
Yes,No,3.700448817952718,0,South Bangalore,3,200,Dine-out
No,No,3.3,12,Whitefield,4,500,Delivery
No,No,3.7,56,Electronic City,2,500,Dine-out
Yes,No,3.8,410,Indiranagar,2,350,Delivery
Yes,No,3.4,10,Banaswadi,3,500,Desserts
Yes,No,3.5,75,Whitefield,2,600,Dine-out
Yes,No,3.6,132,Bannerghatta Road,3,250,Delivery
Yes,Yes,4.0,553,Jayanagar,2,900,Dine-out
Yes,No,3.9,684,Jayanagar,4,650,Dine-out
Yes,No,3.9,139,BTM,2,300,Dine-out
Yes,No,3.9,203,BTM,2,300,Delivery
No,No,4.2,121,Lavelle Road,1,400,Pubs and bars
Yes,Yes,4.5,756,Whitefield,8,900,Dine-out
No,No,3.4,7,Electronic City,2,400,Dine-out
No,No,3.700448817952718,0,Kalyan Nagar,2,400,Delivery
No,No,3.3,7,Whitefield,2,250,Dine-out
Yes,No,4.0,312,Marathahalli,1,150,Delivery
No,No,4.0,1047,Banashankari,5,450,Dine-out
Yes,No,3.3,262,Shanti Nagar,2,500,Delivery
Yes,No,3.700448817952718,0,Koramangala 6th Block,1,300,Dine-out
No,No,4.2,127,Jayanagar,2,400,Desserts
Yes,No,3.1,4,Wilson Garden,2,500,Delivery
Yes,No,3.1,9,RT Nagar,2,400,Delivery
Yes,No,3.3,8,Shanti Nagar,1,150,Dine-out
Yes,No,4.0,26,Basavanagudi,1,100,Delivery
Yes,No,3.9,73,Shivajinagar,2,150,Desserts
No,No,3.5,14,Whitefield,2,600,Dine-out
Yes,No,3.1,911,Koramangala 5th Block,3,600,Delivery
Yes,No,3.2,44,Koramangala 2nd Block,3,350,Delivery
Yes,No,3.1,11,Koramangala 5th Block,2,300,Delivery
Yes,No,3.4,313,Marathahalli,2,300,Delivery
Yes,No,3.2,2,Race Course Road,2,1000,Dine-out
Yes,No,4.3,171,Koramangala 5th Block,2,500,Delivery
Yes,No,3.700448817952718,0,Old Airport Road,4,400,Delivery
No,No,3.700448817952718,0,HSR,1,200,Dine-out
Yes,No,3.700448817952718,0,Marathahalli,1,500,Delivery
Yes,No,3.4,334,Indiranagar,3,550,Delivery
Yes,No,3.7,211,BTM,2,300,Delivery
Yes,No,3.7,14,Indiranagar,3,500,Delivery
No,No,3.700448817952718,0,Frazer Town,1,100,Delivery
Yes,Yes,4.2,525,Shanti Nagar,5,800,Delivery
Yes,No,3.8,46,Sarjapur Road,2,400,Dine-out
Yes,No,4.0,152,Seshadripuram,1,600,Delivery
No,No,3.3,13,Richmond Road,2,600,Buffet
No,Yes,3.7,93,Lavelle Road,3,1000,Cafes
No,No,3.0,17,Whitefield,2,200,Dine-out
Yes,No,3.0,159,Jeevan Bhima Nagar,1,400,Delivery
No,No,4.2,311,Indiranagar,3,800,Cafes
Yes,No,3.5,4,HBR Layout,1,450,Delivery
Yes,No,4.0,528,Ejipura,3,350,Delivery
Yes,No,4.0,19,"Varthur Main Road, Whitefield",1,250,Delivery
Yes,No,3.7,182,Bellandur,5,400,Delivery
Yes,No,4.2,973,Koramangala 5th Block,1,200,Delivery
No,No,3.5,8,BTM,3,700,Dine-out
Yes,No,4.2,255,Vasanth Nagar,3,500,Delivery
Yes,No,3.9,234,Jeevan Bhima Nagar,3,600,Delivery
Yes,No,3.0,110,Indiranagar,3,700,Dine-out
Yes,No,4.0,128,BTM,1,230,Delivery
Yes,No,3.700448817952718,0,Ulsoor,2,200,Delivery
No,No,4.1,1143,Brookefield,5,500,Delivery
Yes,No,4.0,132,Residency Road,3,250,Dine-out
Yes,No,3.2,234,Electronic City,4,500,Delivery
No,No,3.700448817952718,0,Commercial Street,1,500,Delivery
Yes,No,3.700448817952718,0,Koramangala 1st Block,2,450,Delivery
No,Yes,3.8,200,Indiranagar,3,1000,Dine-out
No,No,3.700448817952718,0,Banashankari,1,100,Dine-out
No,No,3.8,210,Kaggadasapura,4,500,Delivery
Yes,No,3.8,265,Koramangala 7th Block,2,650,Delivery
Yes,No,4.0,159,Electronic City,4,400,Delivery
Yes,No,3.9,498,Koramangala 6th Block,2,300,Dine-out
Yes,No,4.2,781,Indiranagar,4,300,Delivery
No,No,3.7,23,Basaveshwara Nagar,1,300,Desserts
Yes,No,3.8,76,Kaggadasapura,2,250,Delivery
Yes,No,3.9,50,Bannerghatta Road,3,400,Delivery
Yes,No,3.0,58,Frazer Town,3,400,Delivery
Yes,No,3.7,24,Ulsoor,2,300,Delivery
Yes,No,3.5,13,Shanti Nagar,1,300,Dine-out
Yes,No,3.7,38,Uttarahalli,2,400,Delivery
Yes,No,3.8,281,HSR,2,350,Delivery
Yes,No,3.7,14,BTM,2,300,Delivery
No,No,3.0,28,Rajajinagar,4,450,Dine-out
Yes,No,4.0,492,HSR,3,800,Dine-out
Yes,No,3.1,17,Thippasandra,2,300,Dine-out
No,Yes,4.5,550,Koramangala 5th Block,4,900,Delivery
Yes,No,3.1,44,Marathahalli,3,500,Delivery
Yes,No,4.0,567,Koramangala 6th Block,2,400,Dine-out
Yes,No,3.9,42,Kammanahalli,2,300,Delivery
No,No,3.700448817952718,0,Lavelle Road,1,500,Delivery
Yes,Yes,3.7,20,Hosur Road,4,700,Delivery
Yes,Yes,4.4,1216,Marathahalli,1,1100,Delivery
Yes,No,4.1,1555,Koramangala 5th Block,3,750,Dine-out
No,No,3.700448817952718,0,BTM,2,350,Dine-out
Yes,No,3.9,35,BTM,3,350,Dine-out
No,No,4.0,170,Electronic City,3,350,Dine-out
Yes,No,3.9,45,Brookefield,3,250,Delivery
Yes,No,4.2,3581,Church Street,5,650,Dine-out
No,No,3.700448817952718,0,BTM,1,200,Delivery
No,No,3.9,190,St. Marks Road,1,600,Drinks & nightlife
Yes,No,3.6,76,Koramangala 4th Block,3,750,Dine-out
Yes,No,3.8,66,Koramangala 5th Block,5,800,Dine-out
Yes,No,3.4,25,Residency Road,2,300,Dine-out
Yes,No,3.6,163,Koramangala 3rd Block,2,500,Delivery
Yes,No,3.4,6,Whitefield,2,300,Dine-out
Yes,No,4.2,258,Sarjapur Road,2,700,Dine-out
No,No,3.6,7,Brigade Road,4,800,Dine-out
Yes,No,3.0,7,CV Raman Nagar,2,400,Delivery
Yes,No,3.3,8,BTM,2,400,Desserts
Yes,No,3.2,13,Brookefield,4,500,Dine-out
No,No,3.8,36,Marathahalli,4,1100,Dine-out
Yes,No,3.700448817952718,0,Jayanagar,2,700,Cafes
Yes,No,3.0,10,Indiranagar,1,600,Delivery
Yes,No,4.3,1104,HSR,4,700,Dine-out
Yes,No,3.7,46,Race Course Road,1,1000,Dine-out
No,No,3.700448817952718,0,Bommanahalli,1,350,Delivery
Yes,No,3.3,4,Koramangala 6th Block,3,350,Delivery
No,No,3.700448817952718,0,Old Airport Road,3,400,Dine-out
Yes,No,3.0,119,Kammanahalli,3,500,Delivery
Yes,Yes,3.9,123,New BEL Road,6,1100,Drinks & nightlife
Yes,No,4.0,138,Sarjapur Road,1,500,Cafes
Yes,No,4.0,790,Richmond Road,4,400,Dine-out
Yes,No,3.6,31,Frazer Town,2,450,Dine-out
Yes,No,3.9,120,Jeevan Bhima Nagar,2,250,Dine-out
Yes,No,3.700448817952718,0,Bannerghatta Road,2,600,Delivery
Yes,No,3.9,99,Bannerghatta Road,2,400,Delivery
Yes,No,3.8,22,Banaswadi,2,200,Dine-out
No,No,3.6,94,Marathahalli,5,700,Desserts
No,No,3.700448817952718,0,Rajajinagar,1,400,Desserts
No,No,3.700448817952718,0,BTM,2,300,Dine-out
Yes,No,4.1,312,Jayanagar,2,200,Delivery
Yes,No,3.7,26,Koramangala 5th Block,4,600,Delivery
No,No,4.0,1469,MG Road,3,450,Dine-out
Yes,No,3.7,30,Ulsoor,2,300,Dine-out
No,No,3.4,6,BTM,1,200,Delivery
No,No,4.0,35,Whitefield,1,250,Desserts
Yes,No,3.5,177,BTM,3,500,Delivery
No,No,3.7,81,Rajajinagar,3,600,Buffet
Yes,No,4.0,48,Indiranagar,3,200,Delivery
Yes,No,3.1,6,Koramangala 1st Block,2,200,Desserts
Yes,No,3.4,17,Koramangala 4th Block,2,400,Delivery
No,No,3.4,7,KR Puram,2,400,Dine-out
No,No,3.5,14,Richmond Road,2,250,Desserts
No,Yes,3.8,235,Jayanagar,2,1000,Drinks & nightlife
Yes,No,3.8,182,Bannerghatta Road,2,600,Dine-out
Yes,Yes,4.4,1808,Koramangala 4th Block,1,1000,Buffet
No,No,3.700448817952718,0,Rajajinagar,3,400,Delivery
Yes,No,3.7,24,"ITPL Main Road, Whitefield",2,600,Delivery
Yes,No,3.700448817952718,0,Bommanahalli,3,300,Delivery
No,No,3.3,4,Old Airport Road,1,700,Delivery
No,No,3.4,5,BTM,1,300,Delivery
No,No,3.8,19,Banaswadi,2,600,Dine-out
Yes,No,3.0,7,JP Nagar,2,300,Dine-out
No,No,3.3,6,HSR,3,600,Cafes
No,No,3.700448817952718,0,Whitefield,2,150,Desserts
Yes,No,4.1,204,Ulsoor,4,250,Delivery
Yes,No,3.2,258,Bellandur,2,500,Delivery
No,No,3.7,28,Indiranagar,2,350,Delivery
No,No,3.7,48,BTM,1,400,Delivery
No,No,3.700448817952718,0,Marathahalli,3,400,Dine-out
Yes,Yes,4.0,868,New BEL Road,5,1000,Dine-out
No,No,3.700448817952718,0,Vasanth Nagar,2,300,Dine-out
Yes,No,3.0,177,Whitefield,3,400,Dine-out
Yes,No,3.6,26,Ejipura,3,200,Delivery
Yes,No,3.6,32,Whitefield,2,400,Delivery
No,No,3.700448817952718,0,BTM,2,250,Delivery
Yes,No,3.9,660,Koramangala 5th Block,3,500,Delivery
Yes,No,3.4,277,BTM,3,250,Delivery
Yes,No,3.3,110,Ulsoor,2,300,Dine-out
No,No,3.8,105,BTM,3,700,Dine-out
No,No,3.700448817952718,0,New BEL Road,2,200,Dine-out
Yes,Yes,3.8,1166,HSR,5,600,Dine-out
Yes,No,3.1,11,Koramangala 5th Block,2,300,Delivery
Yes,No,4.2,39,BTM,3,200,Delivery
No,No,4.2,252,Sarjapur Road,2,500,Dine-out
Yes,No,3.700448817952718,0,Koramangala 6th Block,1,300,Dine-out
Yes,No,3.8,140,Kalyan Nagar,7,650,Delivery
Yes,No,4.1,29,Domlur,1,150,Delivery
Yes,No,3.7,54,Jayanagar,4,400,Dine-out
No,No,4.2,1359,Church Street,3,1100,Drinks & nightlife
No,No,3.700448817952718,0,Sarjapur Road,3,400,Dine-out
No,No,3.4,46,Domlur,1,1100,Delivery
Yes,No,3.5,10,BTM,2,250,Delivery
Yes,No,4.2,253,Brookefield,1,200,Delivery
No,No,4.0,99,Koramangala 6th Block,2,200,Dine-out
Yes,No,3.4,20,Jayanagar,1,400,Delivery
Yes,No,3.0,384,Marathahalli,1,1000,Dine-out
Yes,No,3.9,186,Kammanahalli,2,500,Delivery
No,No,4.1,358,BTM,3,500,Dine-out
No,No,3.700448817952718,0,JP Nagar,1,400,Dine-out
No,No,3.700448817952718,0,Banashankari,1,100,Dine-out
Yes,No,3.8,26,Indiranagar,3,500,Delivery
Yes,No,3.4,10,Koramangala 6th Block,2,300,Desserts
Yes,Yes,4.0,1879,Koramangala 6th Block,1,600,Buffet
Yes,No,4.2,734,Indiranagar,1,300,Delivery
Yes,No,4.0,136,Jayanagar,2,350,Delivery
Yes,No,4.0,783,Brookefield,3,600,Delivery
No,No,3.7,28,Brookefield,2,600,Dine-out
Yes,No,3.700448817952718,0,Kammanahalli,3,300,Delivery
No,No,3.4,58,Marathahalli,3,900,Dine-out
Yes,No,3.7,32,Hennur,2,300,Dine-out
Yes,No,3.8,230,Koramangala 1st Block,3,600,Cafes
Yes,No,3.9,41,Sarjapur Road,2,450,Delivery
No,No,3.5,38,Sarjapur Road,4,500,Dine-out
No,No,3.8,23,Infantry Road,4,800,Dine-out
No,No,3.700448817952718,0,Shanti Nagar,1,400,Dine-out
No,No,3.700448817952718,0,Bellandur,2,700,Delivery
Yes,No,3.4,18,East Bangalore,2,800,Delivery
Yes,No,3.700448817952718,0,Basaveshwara Nagar,1,150,Dine-out
Yes,No,3.5,17,BTM,2,300,Delivery
Yes,No,3.9,66,Church Street,3,500,Cafes
Yes,No,3.6,37,Brookefield,1,300,Dine-out
Yes,Yes,3.700448817952718,80,Jayanagar,5,700,Dine-out
No,No,4.0,33,Richmond Road,1,800,Cafes
Yes,No,3.9,44,Koramangala 6th Block,4,550,Delivery
Yes,No,3.7,36,Bellandur,3,400,Delivery
No,No,3.3,8,Bellandur,2,300,Delivery
Yes,No,3.4,69,Ulsoor,3,350,Dine-out
Yes,No,4.0,175,Ulsoor,2,750,Dine-out
No,No,3.700448817952718,0,Wilson Garden,3,400,Desserts
Yes,No,3.4,33,Shanti Nagar,4,550,Dine-out
Yes,No,4.1,253,Yeshwantpur,4,400,Delivery
Yes,No,3.6,49,HSR,3,500,Delivery
Yes,No,3.3,8,Domlur,1,400,Delivery
Yes,No,3.9,36,JP Nagar,6,400,Delivery
Yes,No,3.9,44,Koramangala 6th Block,1,300,Dine-out
Yes,No,3.9,440,Rajajinagar,3,600,Delivery
Yes,No,3.700448817952718,0,JP Nagar,3,800,Delivery
Yes,No,3.2,9,Jayanagar,2,400,Delivery
No,No,3.6,11,Sarjapur Road,1,300,Delivery
Yes,No,3.7,13,JP Nagar,2,200,Delivery
No,No,3.700448817952718,0,Electronic City,2,300,Dine-out
Yes,No,3.9,523,Koramangala 4th Block,3,500,Delivery
Yes,No,3.3,4,Frazer Town,2,150,Desserts
No,No,3.2,10,Basaveshwara Nagar,3,150,Delivery
Yes,No,3.8,214,Koramangala 7th Block,4,700,Delivery
Yes,No,4.4,44,New BEL Road,3,500,Delivery
No,Yes,3.7,289,Indiranagar,1,600,Dine-out
Yes,No,3.5,250,Malleshwaram,3,300,Dine-out
Yes,Yes,3.9,225,Marathahalli,4,800,Delivery
Yes,No,3.4,10,Kammanahalli,2,500,Desserts
No,No,3.6,32,Vasanth Nagar,2,400,Delivery
No,No,3.8,63,BTM,1,500,Dine-out
No,No,3.9,57,Basaveshwara Nagar,1,600,Desserts
No,No,3.700448817952718,0,Rajajinagar,2,500,Desserts
Yes,No,3.7,50,Shanti Nagar,4,550,Cafes
Yes,No,4.1,373,Koramangala 1st Block,2,500,Delivery
Yes,No,3.1,44,Electronic City,2,450,Dine-out
Yes,No,3.5,80,Banashankari,2,250,Delivery
No,No,3.9,371,HSR,2,400,Buffet
Yes,No,3.4,9,HBR Layout,2,300,Dine-out
Yes,No,3.8,28,Marathahalli,2,200,Dine-out
Yes,No,3.3,7,Whitefield,2,500,Dine-out
Yes,No,3.9,93,Sarjapur Road,2,500,Desserts
Yes,No,3.0,304,"ITPL Main Road, Whitefield",2,400,Delivery
No,No,3.700448817952718,0,Whitefield,2,400,Dine-out
Yes,No,3.6,14,Bellandur,5,250,Delivery
Yes,No,3.5,13,Brigade Road,3,600,Delivery
No,No,3.8,53,Race Course Road,2,750,Delivery
Yes,No,3.1,282,HSR,3,500,Dine-out
Yes,No,3.2,100,Bannerghatta Road,2,250,Dine-out
Yes,No,3.2,7,Bannerghatta Road,3,700,Delivery
Yes,No,3.8,201,HBR Layout,2,550,Delivery
Yes,No,3.2,6,Marathahalli,2,400,Delivery
Yes,No,3.700448817952718,0,Jayanagar,2,200,Delivery
Yes,Yes,4.1,869,Whitefield,4,900,Delivery
Yes,No,3.9,45,Indiranagar,1,150,Delivery
Yes,No,3.4,11,Bellandur,2,400,Dine-out
Yes,No,3.5,10,Commercial Street,1,100,Desserts
No,No,4.5,3845,Koramangala 5th Block,3,800,Dine-out
Yes,No,3.5,13,Brigade Road,3,600,Delivery
No,No,3.700448817952718,0,Marathahalli,4,250,Delivery
Yes,No,3.6,42,Marathahalli,5,400,Delivery
No,No,3.700448817952718,0,BTM,3,800,Pubs and bars
Yes,No,3.9,40,Electronic City,1,250,Dine-out
No,No,3.700448817952718,0,Marathahalli,2,200,Delivery
No,No,3.700448817952718,0,New BEL Road,1,200,Dine-out
Yes,No,3.7,141,Marathahalli,2,300,Delivery
Yes,No,3.5,19,Kanakapura Road,3,400,Delivery
No,No,3.3,4,New BEL Road,3,300,Dine-out
Yes,No,4.2,1770,St. Marks Road,2,750,Dine-out
No,No,4.1,1143,Brookefield,5,500,Desserts
No,No,3.9,83,Seshadripuram,4,650,Dine-out
No,No,3.9,28,Whitefield,3,800,Cafes
Yes,No,3.9,106,HSR,1,150,Delivery
Yes,No,3.7,23,Ejipura,2,300,Dine-out
Yes,No,3.8,283,HSR,3,400,Delivery
Yes,No,4.4,677,Bannerghatta Road,3,500,Delivery
Yes,No,3.2,166,Bannerghatta Road,2,600,Delivery
Yes,No,3.9,81,Rajajinagar,2,200,Delivery
Yes,No,3.6,48,HSR,1,300,Delivery
Yes,No,3.5,117,HSR,4,600,Dine-out
Yes,No,3.3,22,Electronic City,3,400,Delivery
Yes,No,4.1,119,Richmond Road,6,700,Desserts
Yes,No,4.1,133,Malleshwaram,2,250,Dine-out
Yes,No,3.9,39,Kalyan Nagar,3,300,Delivery
Yes,No,3.7,54,Banashankari,3,400,Delivery
Yes,No,3.7,118,Yeshwantpur,3,400,Delivery
Yes,No,3.5,14,Indiranagar,1,400,Delivery
Yes,Yes,4.4,469,Koramangala 4th Block,7,800,Cafes
Yes,No,3.6,60,JP Nagar,1,500,Dine-out
Yes,No,3.7,31,BTM,1,150,Dine-out
Yes,No,3.8,75,Wilson Garden,4,1000,Dine-out
Yes,No,3.8,34,Marathahalli,1,150,Delivery
No,No,3.4,5,Brigade Road,2,150,Delivery
No,No,3.700448817952718,0,BTM,2,150,Dine-out
Yes,No,4.1,23,Koramangala 6th Block,2,500,Pubs and bars
Yes,No,3.9,313,JP Nagar,3,500,Dine-out
No,No,3.1,20,Frazer Town,2,500,Desserts
Yes,No,3.6,29,Jayanagar,2,400,Dine-out
Yes,No,3.6,34,New BEL Road,2,250,Desserts
Yes,No,3.7,53,Whitefield,1,350,Delivery
Yes,No,4.2,770,Indiranagar,4,300,Delivery
Yes,No,4.1,306,Koramangala 7th Block,3,600,Dine-out
Yes,Yes,4.4,1808,Koramangala 4th Block,1,1000,Delivery
Yes,No,4.0,165,Nagawara,1,500,Delivery
Yes,No,4.0,97,Rajajinagar,2,150,Delivery
No,No,3.2,6,Kammanahalli,2,450,Delivery
No,No,3.700448817952718,0,Banashankari,3,150,Dine-out
Yes,No,3.700448817952718,0,Bellandur,2,300,Desserts
Yes,Yes,3.700448817952718,0,JP Nagar,2,600,Dine-out
Yes,No,3.8,25,Indiranagar,3,500,Delivery
Yes,No,3.9,750,Basavanagudi,3,500,Delivery
No,No,3.0,11,Church Street,2,700,Cafes
No,No,3.2,4,Banashankari,1,200,Dine-out
No,No,3.0,110,Banaswadi,1,650,Delivery
Yes,No,3.1,55,JP Nagar,3,200,Dine-out
Yes,No,3.9,120,Ulsoor,1,600,Delivery
No,No,3.4,25,Domlur,3,550,Dine-out
Yes,No,3.700448817952718,0,Koramangala 1st Block,2,300,Dine-out
Yes,No,4.0,121,"Varthur Main Road, Whitefield",4,800,Dine-out
Yes,Yes,4.4,1853,Koramangala 6th Block,1,1100,Delivery
Yes,No,3.5,57,Bannerghatta Road,2,350,Delivery
Yes,No,3.8,208,Cunningham Road,4,400,Delivery
Yes,No,3.8,101,Rajajinagar,1,350,Delivery
Yes,No,3.3,7,Whitefield,2,350,Dine-out
Yes,No,3.3,11,Marathahalli,3,600,Delivery
Yes,No,3.700448817952718,0,Brookefield,4,300,Dine-out
Yes,No,3.9,770,Whitefield,4,800,Dine-out
No,No,3.3,5,Basavanagudi,3,300,Delivery
Yes,No,3.9,62,Shanti Nagar,3,150,Desserts
No,No,4.4,1224,Koramangala 4th Block,3,800,Cafes
Yes,No,3.7,98,Malleshwaram,4,550,Delivery
No,No,3.4,6,New BEL Road,6,250,Delivery
Yes,No,3.7,54,Jayanagar,4,400,Dine-out
Yes,No,4.2,310,BTM,2,600,Delivery
Yes,No,4.1,300,BTM,5,700,Dine-out
No,No,3.700448817952718,0,Kalyan Nagar,3,300,Delivery
Yes,Yes,4.1,2727,BTM,3,800,Delivery
Yes,No,4.1,558,Basavanagudi,1,150,Delivery
Yes,No,3.9,284,Malleshwaram,2,400,Dine-out
No,No,3.700448817952718,0,Koramangala 3rd Block,3,400,Delivery
Yes,No,4.0,58,Bellandur,2,300,Delivery
Yes,No,3.2,15,Koramangala 6th Block,1,250,Delivery
Yes,No,3.7,22,Bannerghatta Road,1,400,Delivery
No,No,3.700448817952718,0,JP Nagar,2,150,Dine-out
No,No,4.1,81,Malleshwaram,1,100,Desserts
Yes,No,3.8,100,BTM,3,700,Delivery
No,No,4.1,55,Ulsoor,3,750,Cafes
No,No,4.3,700,Indiranagar,7,400,Drinks & nightlife
Yes,No,3.4,10,Nagarbhavi,4,250,Delivery
Yes,No,3.8,133,CV Raman Nagar,1,200,Delivery
No,Yes,3.8,52,Infantry Road,4,1100,Dine-out
No,No,3.3,4,Whitefield,1,200,Dine-out
Yes,No,3.700448817952718,0,JP Nagar,1,250,Dine-out
Yes,No,3.3,351,Banaswadi,3,350,Delivery
Yes,No,3.5,20,Bannerghatta Road,3,400,Dine-out
Yes,No,3.9,327,Bannerghatta Road,2,650,Dine-out
Yes,No,4.0,198,Koramangala 4th Block,1,500,Dine-out
Yes,No,3.6,19,Whitefield,1,400,Desserts
Yes,No,3.9,14,Jayanagar,2,600,Dine-out
Yes,No,3.700448817952718,0,Kammanahalli,4,200,Dine-out
Yes,No,4.5,344,Koramangala 5th Block,2,300,Delivery
Yes,No,3.5,12,BTM,1,300,Dine-out
Yes,No,3.700448817952718,0,Electronic City,1,300,Delivery
Yes,No,3.7,25,Koramangala 5th Block,4,600,Delivery
Yes,No,3.6,13,Basavanagudi,1,100,Dine-out
Yes,Yes,3.9,1380,Indiranagar,2,900,Dine-out
No,No,3.700448817952718,0,BTM,2,300,Dine-out
Yes,No,3.9,441,Vijay Nagar,4,250,Delivery
Yes,No,3.5,12,Bellandur,4,600,Delivery
Yes,No,3.700448817952718,0,Bommanahalli,2,250,Dine-out
Yes,No,3.7,132,Marathahalli,1,750,Dine-out
Yes,No,3.7,95,Koramangala 1st Block,1,150,Delivery
Yes,No,4.0,90,Frazer Town,3,650,Delivery
Yes,No,3.9,888,Banashankari,5,750,Delivery
No,No,3.0,11,Banaswadi,3,400,Dine-out
Yes,No,3.8,94,Marathahalli,3,750,Buffet
No,No,4.5,493,Koramangala 6th Block,2,500,Desserts
No,No,3.2,23,Bannerghatta Road,2,450,Dine-out
Yes,No,3.8,39,Marathahalli,3,300,Delivery
Yes,No,3.700448817952718,0,HSR,2,150,Delivery
Yes,No,3.1,22,Electronic City,2,300,Delivery
No,No,3.4,6,Thippasandra,1,500,Delivery
Yes,No,3.3,19,Brigade Road,2,300,Dine-out
Yes,No,4.0,184,Whitefield,2,500,Delivery
Yes,No,3.9,281,New BEL Road,2,500,Delivery
No,No,3.1,18,Electronic City,1,500,Dine-out
Yes,No,3.7,93,Koramangala 6th Block,3,300,Dine-out
Yes,No,3.7,21,Indiranagar,3,300,Delivery
Yes,No,3.4,99,Koramangala 8th Block,2,400,Delivery
No,No,3.1,6,Banashankari,2,100,Dine-out
No,No,3.700448817952718,0,Whitefield,3,400,Delivery
No,No,3.7,446,HSR,4,400,Dine-out
Yes,No,3.0,39,HSR,1,450,Dine-out
Yes,No,4.0,92,Electronic City,2,400,Delivery
Yes,No,3.6,8,Old Airport Road,2,350,Delivery
Yes,No,3.2,292,Jeevan Bhima Nagar,2,850,Dine-out
Yes,No,3.0,16,Kammanahalli,4,550,Dine-out
Yes,No,3.8,75,Koramangala 3rd Block,2,200,Desserts
No,No,3.700448817952718,0,Domlur,4,500,Dine-out
No,No,3.3,11,Commercial Street,2,150,Desserts
Yes,No,3.8,231,Koramangala 1st Block,3,600,Cafes
Yes,No,3.8,90,Banashankari,1,650,Delivery
No,No,4.3,818,Rajajinagar,4,600,Dine-out
Yes,No,3.2,19,Electronic City,1,150,Delivery
Yes,No,3.8,126,Bellandur,3,300,Dine-out
Yes,Yes,4.2,1905,Jayanagar,4,800,Delivery
Yes,No,3.700448817952718,0,Commercial Street,2,100,Delivery
No,Yes,4.3,1278,Jayanagar,4,1000,Dine-out
Yes,No,3.6,79,Ulsoor,2,300,Dine-out
No,No,3.5,6,Kammanahalli,2,400,Dine-out
Yes,No,4.2,178,Koramangala 5th Block,2,350,Desserts
No,No,3.700448817952718,0,Old Airport Road,2,150,Dine-out
