online_order,book_table,rate,votes,location,cuisines,costing,listed_in(type)
No,Yes,4.3,2246,Koramangala 5th Block,3,1100,Delivery
Yes,No,4.1,402,Cunningham Road,4,750,Dine-out
No,No,4.2,221,St. Marks Road,2,150,Desserts
Yes,No,3.700448817952718,0,HBR Layout,3,200,Delivery
No,No,3.700448817952718,0,Kammanahalli,1,100,Dine-out
No,No,3.6,51,HSR,2,150,Desserts
Yes,No,3.9,99,Bannerghatta Road,2,400,Desserts
No,No,3.700448817952718,0,Jayanagar,2,400,Delivery
Yes,No,3.4,122,Banaswadi,5,700,Dine-out
Yes,Yes,4.0,130,Brookefield,5,600,Dine-out
Yes,No,3.4,122,Residency Road,3,600,Delivery
Yes,Yes,4.2,349,Koramangala 5th Block,1,700,Delivery
Yes,No,3.3,66,Thippasandra,2,300,Desserts
Yes,No,4.5,96,Seshadripuram,1,300,Dine-out
No,No,4.2,807,Indiranagar,3,900,Dine-out
Yes,No,4.0,44,Brookefield,3,450,Dine-out
Yes,No,4.1,87,Koramangala 6th Block,2,700,Delivery
Yes,No,3.2,22,Bommanahalli,3,500,Delivery
No,No,4.2,50,Richmond Road,1,400,Cafes
Yes,No,3.9,28,Koramangala 7th Block,2,500,Delivery
Yes,No,4.4,363,Koramangala 6th Block,5,500,Desserts
Yes,Yes,4.5,803,BTM,4,800,Delivery
Yes,No,3.1,6,Jayanagar,2,550,Delivery
No,No,4.3,1817,Residency Road,2,800,Dine-out
No,No,3.3,4,Koramangala 8th Block,2,350,Delivery
No,No,3.700448817952718,0,HSR,2,600,Delivery
Yes,No,3.700448817952718,0,Jayanagar,2,400,Delivery
Yes,No,3.7,42,Indiranagar,1,150,Dine-out
Yes,No,4.2,462,HSR,3,500,Delivery
Yes,No,3.5,22,Kalyan Nagar,2,600,Delivery
No,No,3.2,4,Basavanagudi,1,150,Desserts
Yes,No,3.0,60,Electronic City,2,500,Delivery
Yes,Yes,3.9,163,HSR,2,900,Delivery
Yes,Yes,4.3,864,Cunningham Road,5,1000,Dine-out
Yes,No,3.6,76,Kammanahalli,4,450,Delivery
No,No,3.5,18,New BEL Road,2,250,Delivery
Yes,No,3.7,512,Koramangala 1st Block,3,500,Delivery
Yes,No,3.7,36,BTM,2,200,Dine-out
No,No,4.0,98,Koramangala 6th Block,2,200,Delivery
No,No,3.700448817952718,0,HSR,2,300,Delivery
No,No,3.3,4,Old Airport Road,3,400,Delivery
Yes,No,3.7,16,Banaswadi,4,200,Dine-out
Yes,No,3.700448817952718,0,Rajajinagar,2,250,Delivery
Yes,No,3.9,172,BTM,3,300,Delivery
No,No,3.4,9,Kammanahalli,1,450,Delivery
Yes,No,3.700448817952718,0,Whitefield,2,550,Delivery
Yes,No,3.2,94,Bannerghatta Road,2,350,Delivery
Yes,Yes,4.1,720,HSR,5,950,Delivery
Yes,No,3.9,157,Wilson Garden,2,450,Dine-out
Yes,No,3.5,79,Jayanagar,6,600,Delivery
Yes,No,3.9,26,Brookefield,2,300,Dine-out
No,Yes,4.4,1154,BTM,4,1100,Pubs and bars
Yes,No,4.2,116,MG Road,2,500,Cafes
Yes,No,4.0,597,Bannerghatta Road,1,400,Dine-out
No,No,3.3,4,Richmond Road,1,200,Dine-out
Yes,No,4.1,161,St. Marks Road,2,300,Delivery
Yes,Yes,3.9,74,BTM,3,900,Delivery
Yes,No,3.5,10,Bannerghatta Road,3,400,Delivery
Yes,No,4.0,457,Koramangala 1st Block,1,650,Delivery
Yes,No,3.3,394,Koramangala 7th Block,1,400,Dine-out
Yes,No,4.2,559,Koramangala 5th Block,3,400,Delivery
Yes,No,3.8,71,Basavanagudi,4,400,Delivery
Yes,No,3.9,81,Rajajinagar,2,200,Delivery
Yes,No,3.6,136,Bellandur,5,600,Cafes
Yes,No,3.5,11,Whitefield,2,300,Delivery
Yes,No,3.7,85,HSR,3,350,Delivery
No,No,3.3,62,Banashankari,3,800,Dine-out
Yes,Yes,3.9,484,Koramangala 5th Block,4,700,Dine-out
Yes,No,3.5,14,HSR,2,200,Dine-out
No,No,4.2,1282,New BEL Road,4,800,Dine-out
No,No,3.9,42,Frazer Town,2,400,Dine-out
Yes,No,3.9,146,Bellandur,4,650,Delivery
Yes,No,3.4,13,Koramangala 2nd Block,1,200,Delivery
Yes,No,3.6,136,Bellandur,5,600,Delivery
Yes,No,3.7,46,BTM,2,600,Delivery
No,No,3.6,9,Koramangala 4th Block,1,600,Delivery
Yes,No,3.1,119,Banashankari,4,700,Dine-out
Yes,No,3.5,79,Yeshwantpur,4,450,Delivery
Yes,No,3.1,7,JP Nagar,2,300,Dine-out
Yes,No,3.1,38,JP Nagar,3,300,Delivery
Yes,No,3.9,264,Banashankari,1,200,Delivery
Yes,No,3.0,114,Bannerghatta Road,1,1000,Dine-out
No,No,3.3,6,Banaswadi,3,500,Dine-out
Yes,No,3.700448817952718,0,HSR,2,300,Delivery
Yes,No,3.6,64,BTM,1,350,Delivery
Yes,No,3.7,26,Whitefield,1,200,Delivery
Yes,No,4.2,443,Ulsoor,5,700,Desserts
Yes,No,3.5,13,BTM,1,300,Dine-out
Yes,No,3.700448817952718,0,Koramangala 1st Block,2,600,Delivery
Yes,No,4.0,85,BTM,2,400,Delivery
Yes,No,3.8,70,Sarjapur Road,5,500,Dine-out
No,No,4.3,2303,Koramangala 5th Block,3,800,Delivery
No,No,3.700448817952718,0,JP Nagar,1,200,Dine-out
Yes,No,4.1,179,Frazer Town,2,400,Delivery
Yes,No,4.5,785,Malleshwaram,4,1000,Delivery
No,No,3.8,191,Banashankari,1,300,Dine-out
Yes,No,4.0,25,Whitefield,1,750,Desserts
No,No,3.1,7,Koramangala 5th Block,3,200,Dine-out
Yes,No,3.4,13,Bannerghatta Road,2,600,Dine-out
No,No,3.5,12,Malleshwaram,1,150,Desserts
No,No,3.5,11,JP Nagar,2,250,Desserts
Yes,No,3.4,47,Whitefield,3,250,Delivery
Yes,Yes,3.8,258,Sahakara Nagar,4,600,Delivery
No,No,3.700448817952718,0,Jayanagar,2,200,Delivery
Yes,No,3.5,12,BTM,1,250,Delivery
Yes,No,3.9,450,Frazer Town,2,700,Delivery
Yes,No,3.4,15,Bannerghatta Road,2,600,Delivery
Yes,No,4.1,118,Richmond Road,3,1000,Buffet
No,No,4.2,149,New BEL Road,2,300,Desserts
No,No,4.2,256,Banashankari,3,800,Delivery
Yes,No,3.700448817952718,0,Jeevan Bhima Nagar,2,300,Desserts
No,No,3.6,15,Commercial Street,1,200,Dine-out
No,No,3.4,11,Majestic,2,300,Dine-out
No,No,3.1,91,Indiranagar,4,200,Dine-out
No,No,3.4,9,Whitefield,1,400,Dine-out
No,No,3.3,9,Kammanahalli,2,250,Delivery
Yes,No,3.6,58,Marathahalli,1,300,Delivery
Yes,No,3.5,6,Domlur,2,200,Delivery
Yes,No,3.9,117,Ulsoor,1,600,Dine-out
No,No,3.700448817952718,0,Ejipura,1,200,Delivery
Yes,No,4.2,774,Sarjapur Road,2,500,Buffet
No,No,3.7,23,Marathahalli,4,400,Delivery
No,No,3.1,16,Marathahalli,1,400,Dine-out
No,No,3.4,7,Banashankari,2,150,Desserts
Yes,No,3.7,17,Brigade Road,2,200,Desserts
No,No,3.700448817952718,0,Whitefield,1,200,Desserts
No,No,3.700448817952718,0,Bannerghatta Road,2,150,Desserts
Yes,No,3.6,27,Nagawara,2,200,Delivery
No,No,3.0,120,Bellandur,4,1000,Dine-out
Yes,No,4.1,187,HSR,3,400,Delivery
Yes,No,3.9,49,Koramangala 4th Block,3,400,Dine-out
Yes,No,3.6,8,JP Nagar,1,300,Delivery
No,No,3.5,9,Whitefield,2,1000,Dine-out
No,No,3.6,47,Banashankari,1,150,Dine-out
No,No,3.8,63,BTM,1,500,Delivery
Yes,No,4.3,247,Koramangala 5th Block,4,600,Dine-out
Yes,No,3.4,17,Koramangala 4th Block,2,400,Dine-out
Yes,No,3.700448817952718,0,JP Nagar,2,200,Delivery
Yes,No,3.2,127,Bellandur,1,400,Dine-out
No,No,3.9,164,Koramangala 8th Block,2,400,Delivery
Yes,No,4.1,895,Koramangala 3rd Block,6,800,Dine-out
Yes,No,4.0,958,Koramangala 7th Block,3,500,Delivery
Yes,No,3.3,45,Domlur,1,300,Delivery
Yes,No,4.0,457,Koramangala 1st Block,1,550,Delivery
No,Yes,4.2,341,Lavelle Road,2,1000,Dine-out
Yes,No,3.6,42,BTM,3,600,Cafes
No,No,3.2,4,BTM,3,250,Desserts
Yes,No,3.8,109,Sarjapur Road,1,200,Delivery
Yes,Yes,4.4,1026,Basaveshwara Nagar,2,800,Delivery
No,No,3.700448817952718,0,Koramangala 1st Block,1,400,Dine-out
Yes,No,4.0,397,Rajajinagar,1,450,Dine-out
Yes,No,3.7,44,Kengeri,2,500,Delivery
No,No,3.2,4,Bannerghatta Road,2,350,Delivery
Yes,No,3.3,4,Rajajinagar,4,450,Dine-out
Yes,Yes,3.8,384,Marathahalli,4,800,Delivery
Yes,No,3.8,133,Basavanagudi,2,200,Delivery
No,No,3.700448817952718,0,Indiranagar,2,550,Delivery
No,No,3.6,55,Richmond Road,2,300,Dine-out
No,No,3.3,4,Kumaraswamy Layout,2,800,Dine-out
Yes,No,3.8,18,Domlur,3,500,Dine-out
Yes,No,3.3,8,Marathahalli,1,300,Delivery
Yes,No,3.7,72,Whitefield,1,450,Dine-out
Yes,No,3.700448817952718,0,Electronic City,1,800,Delivery
No,Yes,3.7,44,Jayanagar,4,550,Dine-out
Yes,No,3.700448817952718,0,Bannerghatta Road,2,300,Dine-out
Yes,No,4.0,173,Malleshwaram,2,300,Delivery
Yes,Yes,4.1,617,Cunningham Road,6,1100,Dine-out
No,Yes,4.0,608,Frazer Town,2,1100,Dine-out
Yes,No,3.700448817952718,0,"ITPL Main Road, Whitefield",1,400,Delivery
Yes,No,3.6,30,Bellandur,2,250,Dine-out
Yes,No,3.7,83,JP Nagar,2,400,Dine-out
Yes,No,3.9,1045,Koramangala 7th Block,3,600,Delivery
Yes,No,3.9,93,Jayanagar,2,200,Delivery
Yes,No,3.9,1043,Koramangala 7th Block,3,600,Dine-out
Yes,No,3.700448817952718,0,Marathahalli,3,300,Dine-out
No,No,3.700448817952718,0,Marathahalli,3,800,Dine-out
No,No,3.700448817952718,0,Kalyan Nagar,2,250,Dine-out
No,No,3.6,8,Brigade Road,4,800,Delivery
Yes,Yes,4.1,1406,JP Nagar,2,1100,Delivery
No,No,3.2,16,Kammanahalli,2,500,Dine-out
Yes,No,3.4,7,Bellandur,2,300,Delivery
Yes,No,3.3,395,Koramangala 7th Block,1,400,Delivery
No,No,3.9,84,Church Street,1,500,Dine-out
No,No,3.700448817952718,0,BTM,2,350,Dine-out
No,No,3.700448817952718,0,Bannerghatta Road,2,200,Delivery
No,No,3.700448817952718,0,JP Nagar,1,350,Delivery
Yes,No,3.2,75,Electronic City,2,900,Delivery
No,No,3.700448817952718,0,Kammanahalli,2,500,Desserts
Yes,No,3.8,62,BTM,2,300,Dine-out
No,No,4.3,259,Kalyan Nagar,2,200,Delivery
Yes,No,4.0,304,Koramangala 1st Block,1,450,Delivery
Yes,No,4.0,736,Indiranagar,3,500,Delivery
No,No,3.3,6,New BEL Road,2,400,Cafes
Yes,No,3.1,53,HSR,4,750,Dine-out
No,No,3.2,9,Shanti Nagar,3,350,Dine-out
Yes,No,3.700448817952718,0,Koramangala 7th Block,2,300,Cafes
